Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,6160.56,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,62940,66430,66840,72220,73610,76440,76120,74430,74650,77510,80050,78650,82400.0015258789,88190.0024414063,89489.9978637695,94190.0024414063,99809.9975585938,102750,107750,112169.998168945,114180.000305176,120790.000915527,134929.992675781,139020.004272461,147740.005493164,156270.004272461,154910.003662109,158339.996337891,165539.993286133,171250,163.47," CO2 emissions from coal, oil, gas, cement and flaring",the use of water produced by oil fields will be evaluated for the electrolysis processes necessary for the production of hydrogen.
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,852432.115420983,632522.161699991,526971.596222606,526843.234731961,535755.189653882,587220.812460183,642276.889533382,564504.496087189,619325.855006065,739013.776354576,974659.80088057,1121743.73180387,1164752.16611225,1224304.56282919,1245333.84246799,1417048.50971048,1481984.75409218,1626684.82876065,1789879.96049547,1833819.93247882,1814441.01486259,1804073.07388964,1941122.80371567,2049500.24400278,2208437.44171935,2386650.86785964,2510692.07747659,2685634.11934101,2894144.52474466,2958765.36660649,2672061.77416853,2830000.84174263,2957304.27104307,3217617.85058841,3372495.92997446,3754295.84698875,3779307.15173108,3884942.66232415,3965876.88434722,3920664.5257946,4137375.83077914,4361587.52702988,4672683.83647618,5333394.35053444,6100326.11357513,6832227.71983795,7474038.20757711,8068467.52122888,8306101.22515635,8812398.89406014,9648332.21388392,10510725.7158028,10805820.6844872,11254577.9791844,11353689.1147499,11270577.4874296,11308838.6829465,11613613.0865442,12156221.5589383,12491816.9199791,,,
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,604421.214242335,630430.826726636,666370.723695765,701281.595191063,746736.683579457,800007.783625848,840758.639176639,913977.848178741,1004423.71632641,1061629.30025172,1142619.01645415,1216676.85414106,1250251.67984925,1374726.27048271,1428425.28469795,1460455.65379312,1587486.21510686,1700937.4437463,1785678.30834986,1886542.66134338,1977955.04263786,2052944.62310522,2144337.31279199,2201600.50800209,2279090.92264817,2399847.73774666,2521628.51644589,2623863.40533578,2752512.61680298,2882059.76558159,2616614.02152806,2742521.54409015,2816236.35670589,2915066.42672102,3050351.85292332,3186298.28283671,3343647.21169845,3507425.90393167,3614768.90052896,3731456.08595116,3873932.43131346,3968275.6882594,4089880.37923379,4258125.84459394,4487233.76265489,4678233.72971806,4932609.92344152,5227577.86710621,5427982.19903475,5589647.65606544,5865105.89111331,6092200.75462486,6393548.34567227,6466649.45611137,6795368.65900506,6855509.8771185,6962021.62188765,7236618.44187981,7405414.8134019,7452716.80812937,,,
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,1232271.29595304,1066777.45729867,978885.156550887,1024770.9794152,1081082.186205,1177370.21190644,1271876.71015177,1283871.33655245,1425716.62699245,1659111.60079762,2054417.29432393,2245063.04771069,2364536.96518943,2521716.7811023,2547405.73755175,2690218.03663181,2825063.67222342,3031270.82618705,3204082.70869281,3328648.29858783,3323288.83916353,3291061.41660171,3412725.98057658,3520967.72077469,3766238.30453253,3945521.70639864,4089200.59399075,4290089.20043409,4644594.56787809,4795868.19255863,4510718.55970298,4720763.24892372,4894966.731127,5200003.33023544,5454570.44591379,5905982.09442529,5985307.65871805,6115154.81204015,6106797.07392102,6140436.44879451,6453028.35979368,6698018.46633053,7058162.00262331,7756963.98432264,8586193.0302042,9349823.12678418,10010057.8914188,10693457.6386636,10888327.6420295,11372365.8077504,12346726.5602484,13329705.2149024,13682264.0029243,14151650.95297,14186800.0867947,14088624.7665387,14132393.0790186,14457773.4877706,14982328.1974255,15275883.7103709,16829,Energy generated from fossil fuels has been identified as a significant cause of pollution,"set up a low-carbon research and development centre
and, demonstration platform to promote development and
application of low-carbon technologies;
• strengthen the fundamental research on new energy;
• promote research and development of new energy and
renewable energy technologies;
• develop the core technologies with self-owned
intellectual patents;
• develop cutting edge technologies on low-carbon
economy;
• achieve technological breakthroughs in energy saving,
renewable energy, nuclear energy, carbon capture and storage
and developing clean automobiles;
• build proper systems to develop and maintain talents
on low-carbon technologies;
• strengthen protection of IPRs"
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,2430300.25722629,2512343.5793149,2656183.59244808,2850761.45508295,3041972.57901311,3230983.48433867,3418048.26454675,3587973.28407637,3705231.65354277,3878800.60467216,4073857.78002142,4324700.02550343,4556023.27129095,4764316.40737978,4944260.79509577,5203072.33631102,5418208.67199688,5609194.57669981,5811025.65342233,5853615.18677937,6056832.22797723,5969776.33436945,6094576.66052254,6187378.53185103,6223627.27773336,6693711.77865944,6741983.76636541,6753435.29784297,6904072.31175733,6790290.40318326,3845991.79313697,3738657.64140977,3513547.53176551,3205163.51671065,2844981.32872348,2751646.41235833,2659664.32117134,2522137.11565327,2520664.03934818,2515683.63850713,2582853.91383412,2570427.96404963,2604208.47608792,2712975.67329324,2712364.3718695,2728718.52387277,2840501.92639432,2897641.33977861,2936993.4431657,2709358.12427728,2846013.4325567,3003281.87746848,2967386.96320854,2916160.04703489,2824658.85958983,2752548.35596987,2784815.69539836,2845592.6526867,2926551.69662875,2942675.30468987,,,
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,4836199.46394316,5001459.20992692,5280550.62155034,5654244.16615865,5948023.71527582,6224880.82767698,6497112.54870573,6715900.28031767,7014837.19681255,7378568.79075316,7826039.00767564,8158008.83422603,8538858.8560425,8945182.12889176,9029547.92358516,9176205.30862564,9653729.36997394,9816861.2119365,10140000.2367989,10382547.6967318,10448255.1330077,10085576.2915828,10091019.2460792,10108792.8444037,10139384.2645822,10698737.4350407,10732845.4966017,10800669.6374039,10895798.1466467,10922324.1501952,7975648.08157319,7854524.73833276,7507954.29893602,7121012.75100741,6745972.16509762,6699309.97563323,6724143.71708497,6498796.79737664,6497013.65660277,6439302.0049273,6517629.96959498,6575471.85065281,6587362.72644056,6798985.53094931,6805126.37234292,6798745.07755001,6920008.60041716,6919938.5858513,6869189.16332352,6349103.14888093,6589266.08498866,6603741.58761964,6535421.32290237,6401144.86399938,6119067.96572503,6089355.62806625,6113428.0372024,6177470.87389394,6189301.71701416,6055906.67296364,,,
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,1763.827,1646.483,1565.809,1796.83,2145.195,2277.207,2420.22,2592.569,3116.95,3593.66,4283.056,4224.384,4594.751,5262.145,6090.887,7363.336,8111.404,7484.347,10425.281,12167.106,13443.222,16692.184,19288.42,19556.111,21257.599,19431.433,15276.722,15115.374,17271.57,20267.509,15420,15740,16850,16950,18800,20920,24000,24950,24470,21610,22050,24250,24170.0000762939,24659.9998474121,26180.0003051758,28219.9993133545,30129.9991607666,30639.9993896484,31690.0005340576,34500,37250,37099.9984741211,37090.0001525879,39700.0007629395,41799.9992370605,41520.0004577637,39810.001373291,38549.9992370605,40139.9993896484,39290.0009155273,33.28," CO2 emissions from coal, oil, gas, cement and flaring","Carbon dioxide (CO2) and other impurities must be removed from renewable natural gas (RNG) feeds – like biomethane and landfill gas — to meet purity specifications. Our proprietary solvent is a simple drop-in enhancement for current solvents, delivering better performance for CO2 removal."
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,16054.126,17088.22,18595.357,21554.626,25522.32,27641.846,26563.748,19677.122,22904.082,19695.457,21686.638,23047.095,25511.319,23795.163,26123.708,31099.827,34495.469,37865.442,39313.907,42947.904,45239.779,50978.634,56523.138,57091.523,63838.803,63937.812,74564.778,74810.467,74531.775,72181.228,87750,89370,90900,92660,87900,93720,98940,106060,110980,116540,114610,126700,129440.002441406,133020.004272461,144500,162220.001220703,170750,183399.993896484,189940.002441406,197660.003662109,200309.997558594,205770.004272461,215000,213860.000610352,219119.995117188,226279.998779297,231229.995727539,242229.995727539,247910.003662109,249369.995117188,269.55,fossil fuel-based power and transport sectors are among the most carbon intensive," lower carbon goods and moving towards greener and more resilient development paths. Enabling the transition toward a low carbon climate-resilient economy will require actions to support an increased role of the private sector. The private sector has an important role to play – as a financier, innovator, and provider of climate friendly goods and services."
Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622740,2638230,2563820,2510460,2508720,2559540,2616520,2588510,2630710,2613760,2632450,2679490,2684259.98473167,2741399.98745918,2754819.99874115,2746329.98514175,2729999.94325638,2692959.95402336,2635759.99903679,2438199.99623299,2501249.99451637,2411289.99590874,2381640.00201225,2332870.00322342,2208170.01652718,2256729.97391224,2255170.0245142,2258570.01495361,2201410.01582146,2092859.99310017,,,
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,630,730,800,870,830,610,650,640,700,680.000007152557,689.999997615814,680.000007152557,600.000023841858,519.999980926514,509.999990463257,449.999988079071,469.999998807907,500,569.999992847443,620.000004768372,639.999985694885,649.999976158142,649.999976158142,660.000026226044,720.000028610229,850.000023841858,879.999995231628,0.73,Carbon dioxide (CO?) emissions from fossil fuels and industry,Flexible replacements. Greenhouse gas reduction. Vapor Control. Mobile Combustion Units. Decarbonization
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,48928.781,53677.546,60054.459,58822.347,64410.855,71117.798,77729.399,86519.198,97157.165,96882.14,116929.629,128682.364,145026.183,155367.123,173152.073,181644.845,198443.372,195663.786,200493.225,203745.854,215003.544,207288.176,209906.414,204867.956,198953.085,201233.959,190467.647,190878.351,199033.759,226671.938,214950,222100,232370,218080,228450,240570,230110,248600,256220,278300,293310,294790,312750,318660.003662109,335559.997558594,350500,341779.998779297,354679.992675781,324269.989013672,287489.990234375,273250,274399.993896484,269269.989013672,242809.997558594,240960.006713867,256279.998779297,247029.998779297,263450.012207031,257040.008544922,239979.995727539,214.85,"CO2) – the most dominant greenhouse gas produced by the burning of fossil fuels, industrial production, and land use change.",1) using less energy; and/or (2) using lower-carbon energy.
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35280,31540,23820,18340,17820,16260,17200,16770,16240,15290,14920,15380,14949.9998092651,16940.0005340576,17020.0004577637,17229.9995422363,15979.9995422363,19979.9995422363,18399.9996185303,15050.0001907349,19000,18170.0000762939,16889.9993896484,19319.9996948242,17940.0005340576,15539.999961853,15989.9997711182,16709.9990844727,15319.9996948242,10180.0003051758,14.37,"burning oil shale for electricity, and oil shale contributes significantly to other pollution and waste levels in the country.","Support for growing plants of local varieties
4. Support for regional soil protection
5. Support for the maintenance of semi-natural habitats"
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,352.032,341.031,396.036,421.705,407.037,645.392,825.075,1074.431,1727.157,1668.485,1653.817,1851.835,1408.128,1752.826,1738.158,1210.11,1177.107,1048.762,1371.458,1848.168,1822.499,1866.503,1481.468,1844.501,1664.818,1815.165,2214.868,2581.568,2673.243,2827.257,2310,2330,1520,1940,2260,2570,2870,3060,3230,3180,3560,4400,4570.00017166138,5019.99998092651,5329.99992370605,5050.00019073486,5400.00009536743,5960.00003814697,6489.99977111816,6530.00020980835,6469.99979019165,7539.99996185303,8479.99954223633,10079.9999237061,12340.0001525879,12890.0003433228,14970.0002670288,15819.9996948242,17239.9997711182,18360.0006103516,17.01,Carbon dioxide (CO?) emissions from fossil fuels and industry.,"adopting cleaner practices in agriculture, construction and transport, as well as slowing deforestation"
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,1687910.91458641,1775816.56177005,1924617.38934089,2102660.95369133,2223323.73193578,2308396.11337154,2412860.62481499,2530014.73254742,2707669.08059311,2897623.80862301,3116397.71451264,3207027.87582959,3394658.75356932,3601853.47439237,3600834.64347697,3537180.60634133,3837936.05830539,3811572.37742716,3967127.25263941,4114434.17645228,4074379.23967724,3825160.6054786,3740677.77226917,3678981.26419569,3674224.81200077,3742372.00794871,3717496.50705926,3800176.35297459,3740672.04849998,3855628.22886436,3562590,3524670,3409700,3348870,3336400,3391600,3488790,3419620,3412010,3354420,3362380,3419490,3411189.9869442,3502199.99432564,3507500.00476837,3488149.98865128,3496999.94325638,3456569.96035576,3378879.98270988,3129210.00409126,3213189.98932839,3118369.98820305,3059130.00750542,2982339.98727799,2836770.03216743,2895699.9617815,2905110.00978947,2926620.00274658,2862280.02619743,2724969.99752522,,,
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,111700.090115578,108323.777002636,111695.017318434,117574.958408734,121631.735946686,147210.609905741,160314.317238399,180108.794842754,194123.430735206,220840.965394006,240216.415860855,239788.279437751,242106.592622431,262361.089149482,286855.958122382,257177.905644246,292080.133412809,290613.538431538,294863.020162984,362012.118948304,370998.429190686,364334.986775782,365296.016406367,378759.540520143,395584.391019565,414627.352562088,435514.944438198,432057.970553774,479007.228525631,447106.510361595,440846.942235164,440429.348153616,472085.016579254,476641.802122691,474282.038180554,499720.700332639,521671.020333409,546815.223781928,515730.80398473,495713.088617948,531222.155866645,552890.201103744,541254.788264901,547359.660660831,560441.530388843,588420.51513052,582173.650623431,564812.295104122,603986.916785543,603824.654329425,652217.449484763,643587.45809549,696858.058399715,715933.247518457,723873.645884871,686940.18335647,694941.419538668,714645.351839713,721956.990847235,728944.127216499,,,
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,15104.373,14939.358,16809.528,19358.093,22852.744,25327.969,29519.35,28617.268,33314.695,37935.115,40395.672,40582.689,44161.681,49387.156,46680.91,46101.524,51279.328,50219.565,51913.719,54333.939,58246.628,51510.349,43083.583,41576.446,42254.841,49665.848,53329.181,57656.241,52185.077,52584.78,54560,55130,52280,53460,59930,56090,62570,60620,57270,56510,55100,61090,63439.998626709,71709.9990844727,67680.0003051758,55459.9990844727,67019.9966430664,65099.9984741211,56659.9998474121,54180.0003051758,62529.9987792969,55119.9989318848,49409.9998474121,50189.998626709,46159.9998474121,42819.9996948242,45700.0007629395,43020.0004577637,44580.0018310547,40709.9990844727,40.7,Carbon dioxide (CO?) emissions from fossil fuels and industry.," Finland has set a goal ofbecoming carbon-neutral by 2035. It plans to do this by deploying electric vehicles, phasing out fossil fuel heating, and creating carbon sinks to absorb and neutralize CO2 emissions."
Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,194.351,168.682,231.021,242.022,425.372,344.698,322.696,355.699,396.036,432.706,520.714,550.05,579.386,630.724,671.061,623.39,484.044,766.403,711.398,839.743,795.739,1081.765,839.743,715.065,583.053,579.386,605.055,476.71,553.717,630.724,690,680,720,700,700,710,770,750,730,750,810,1040,879.999995231628,1049.99995231628,1470.00002861023,1289.99996185303,1379.99999523163,1259.99999046326,970.000028610229,970.000028610229,1159.9999666214,1110.00001430511,1029.99997138977,1129.99999523163,1289.99996185303,1379.99999523163,1519.99998092651,1649.99997615814,1629.99999523163,1629.99999523163,2.38,Carbon dioxide (CO?) emissions from fossil fuels and industry. Land use change is not included.,"extensive afforestation measures, reduced deforestation, and increased use of sustainable forest plantations in the AFOLU sector"
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,271218.654,281211.229,298706.486,334019.696,345303.055,351852.317,347235.564,372009.816,384631.63,413259.899,439013.24,462434.369,480729.032,516599.626,499071.366,446919.292,505602.293,480857.377,505858.983,529155.434,505363.938,454700.666,436893.714,422603.415,405342.846,400880.107,385614.386,377491.981,372207.834,390649.177,356240,380650,368590,349420,344400,352240,367900,359070,381110,374900,373120,376730,371019.989013672,376709.991455078,377790.008544922,380660.003662109,371549.987792969,362829.986572266,357989.990234375,343730.010986328,347779.998779297,335140.014648438,338420.013427734,338559.997558594,306100.006103516,311299.987792969,313920.013427734,317829.986572266,307049.987792969,300519.989013672,279.99, France's total carbon footprint – including imported products,"the establishment more than 40 years ago of its extensive nuclear capacity, which ensures electricity can be generated with low carbon emissions (CO2)."
Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,58.672,113.677,117.344,124.678,121.011,135.679,139.346,168.682,183.35,212.686,256.69,260.357,234.688,253.023,300.694,348.365,330.03,407.037,399.703,480.377,421.705,440.04,458.375,487.711,498.712,517.047,491.378,498.712,528.048,579.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CO2 emissions from solid fuel consumption (% of total).,This Faroe Island salmon company intends to do things greener. ... Faroe Island salmon farmer's bold stance to reduce its carbon emissions
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,110,120,120,120,130,130,130,150,140.000000596046,159.999996423721,159.999996423721,159.999996423721,140.000000596046,140.000000596046,119.999997317791,129.999995231628,109.999999403954,119.999997317791,129.999995231628,140.000000596046,140.000000596046,150.000005960464,170.000001788139,180.000007152557,170.000001788139,180.000007152557,,,
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,132.012,165.015,88.008,73.34,190.684,216.353,381.368,1012.092,1961.845,1433.797,2082.856,2845.592,2739.249,5313.483,5452.829,5368.488,5709.519,6314.574,7561.354,6754.614,6633.603,6574.931,6556.596,5518.835,5995.545,6318.241,4968.785,4022.699,4334.394,5771.858,4100,4560,4530,4650,4620,5210,5810,5560,6390,6030,6080,6230,5960.00003814697,6440.00005722046,6090.00015258789,6059.99994277954,5440.00005722046,4940.00005722046,5269.99998092651,5199.99980926514,5760.00022888184,5780.00020980835,5599.99990463257,5789.99996185303,5960.00003814697,6119.99988555908,6420.00007629395,5329.99992370605,5119.99988555908,5250,5.95,"Carbon dioxide (CO?) emissions from fossil fuels and industry. Land use change is not included.

",Decreasing carbon emissions is vital to fighting climate change. Getting deforestation and forest
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,584299.78,588938.535,593360.937,603822.888,608355.3,622619.93,618564.228,592517.527,606969.174,628857.497,653063.364,660863.073,648486.948,660034.331,617607.141,603643.205,598912.775,604746.972,605084.336,644893.288,579290.658,560819.979,548520.861,545741.275,529335.117,559855.558,568777.369,571868.65,570464.189,581721.879,561770,570680,557890,541380,535180,526810,545480,524190,526000,522750,530890,545260,530789.978027344,543039.978027344,543080.017089844,540919.982910156,542059.997558594,530500,515340.026855469,466489.990234375,482440.002441406,445589.996337891,467779.998779297,453760.009765625,415600.006103516,401079.986572266,380809.997558594,367000,360730.010986328,348920.013427734,313.73,"The transport sector consists of emissions from road transport, railways, domestic aviation, shipping, fishing and aircraft support vehicles.",switching to green heating and electricity
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33490,25510,20070,16090,10440,8180,6360,5520,4990,4520,4770,3520,2960.00003814697,3160.00008583069,3369.99988555908,4239.99977111816,4699.99980926514,5630.00011444092,4840.00015258789,5619.99988555908,5320.00017166138,6519.99998092651,7190.00005722046,7840.00015258789,8470.00026702881,9199.99980926514,9649.99961853027,9729.99954223633,9569.99969482422,10109.9996566772,10.44,"When we burn fossil fuels like coal, oil or gas, mostly negative results for Georgia and the planet carbon dioxide is emitted into the air.","Reduce food waste.
Plant-rich diets.
Family planning.
Educate girls.
Promote regenerative agriculture.
Manage livestock grazing"
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,1463.133,1345.789,1433.797,1723.49,1650.15,1705.155,1441.131,1496.136,1763.827,1690.487,2625.572,2295.542,2423.887,2475.225,2937.267,2746.583,2434.888,3003.273,2970.27,2658.575,2559.566,3047.277,3043.61,3655.999,2581.568,3325.969,3047.277,3285.632,3450.647,3344.304,2790,2560,3080,3190,3460,3710,4090,4300,6100,6580,5740,6210,7429.99982833862,7139.9998664856,6679.99982833862,7039.99996185303,8510.00022888184,9119.99988555908,8659.99984741211,10010.0002288818,11189.9995803833,11750,14609.9996566772,15630.0001144409,15090.0001525879,15779.9997329712,16069.9996948242,17010.0002288818,18680.0003051758,20040.0009155273,16.52,crop and livestock production index in Ghana: Estimating the long-run elasticities and variance, forest degradation and deforestation are driven primarily by cocoa farm expansion
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671,51.338,55.005,55.005,55.005,47.671,55.005,62.339,66.006,66.006,69.673,80.674,73.34,84.341,77.007,88.008,77.007,77.007,69.673,91.675,88.008,51.338,22.002,36.67,33.003,44.004,40.337,47.671,69.673,69.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,Carbon dioxide emissions estimates are based on petroleum consumption and include both domestic and international bunkers, electricity generation is still predominantly produced using higher-carbon (diesel) fuel.
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,410.704,616.056,660.06,696.73,700.397,696.73,718.732,726.066,748.068,748.068,792.072,814.074,832.409,803.073,839.743,843.41,887.414,902.082,902.082,946.086,964.421,990.09,982.756,953.42,979.089,993.757,997.424,993.757,1026.76,1045.095,1000,1020,1050,1080,1120,1160,1230,1290,1360,1430,1490,1570,1629.99999523163,1700.00004768372,1769.99998092651,1830.00004291534,1899.99997615814,1980.00001907349,2009.99999046326,2119.99988555908,2500,2619.99988555908,2480.00001907349,2180.0000667572,2240.00000953674,2539.99996185303,2819.9999332428,3339.99991416931,3750,3950.00004768372,2.77,"Carbon dioxide (CO?) emissions from fossil fuels and industry. Land use change is not included.

",1) using less energy; and/or (2) using lower-carbon energy.
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,22.002,25.669,29.336,29.336,29.336,33.003,33.003,36.67,47.671,47.671,55.005,66.006,62.339,62.339,99.009,99.009,113.677,139.346,146.68,157.681,157.681,161.348,161.348,172.349,172.349,161.348,179.683,183.35,179.683,190,200,200,210,210,220,220,230,240,260,240,310,300.000011920929,300.000011920929,319.999992847443,330.000013113022,360.000014305115,409.999996423721,430.000007152557,490.000009536743,439.999997615814,449.999988079071,460.00000834465,439.999997615814,519.999980926514,529.999971389771,529.999971389771,540.000021457672,550.000011920929,579.999983310699,0.52,"Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production","It plans to reduce these emissions through a range of activities, including introducing agroforestry and improved soil management, using solar and wind energy for rural electrification, reducing power loss during transmission, recovering gases from landfills and composting waste.
"
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,29.336,40.337,47.671,58.672,66.006,66.006,47.671,62.339,58.672,69.673,73.34,66.006,110.01,102.676,113.677,95.342,102.676,102.676,110.01,146.68,143.013,143.013,143.013,161.348,172.349,183.35,194.351,216.353,231.021,170,170,180,180,180,180,180,200,170,190,150,150,150.000005960464,189.999997615814,200.000002980232,209.999993443489,219.999998807907,230.000004172325,219.999998807907,230.000004172325,239.999994635582,239.999994635582,250,250,270.000010728836,280.000001192093,310.000002384186,310.000002384186,319.999992847443,330.000013113022,0.29,Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement.,"Increase the adaptation capacity of national ecosystems through soil protection against water and wind erosion, and protecting the coast against"
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,22.002,22.002,25.669,25.669,29.336,25.669,25.669,29.336,44.004,36.67,66.006,88.008,29.336,51.338,62.339,62.339,62.339,69.673,62.339,58.672,69.673,73.34,62.339,80.674,66.006,80.674,99.009,106.343,117.344,60,70,900,960,1030,1100,1190,1650,1970,3230,2220,3400,4630.00011444092,5010.00022888184,6199.99980926514,8319.99969482422,9369.99988555908,8539.99996185303,9779.99973297119,9710.00003814697,9949.99980926514,9989.99977111816,9819.99969482422,9180.00030517578,7909.99984741211,6570.00017166138,6659.99984741211,5800.00019073486,6429.99982833862,5349.99990463257,4.28, Carbon dioxide emissions come from the oxidation of carbon from fuels,Desertification and Deforestation
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,9405.855,9823.893,10164.924,12258.781,13223.202,17025.881,18650.362,19534.109,22321.029,25474.649,24165.53,27814.195,31572.87,37256.72,36218.959,38873.867,42911.234,46999.939,48081.704,51293.996,51429.675,50721.944,52148.407,55544.049,57054.853,60600.842,59130.375,63472.103,67989.847,74183.41,75620,75820,78180,78090,79730,82830,82750,83760,87130,87400,94460,96610,96599.9984741211,100220.001220703,99839.9963378906,101949.996948242,100699.996948242,104309.997558594,100410.003662109,94739.9978637695,87580.0018310547,84550.0030517578,80089.9963378906,72480.0033569336,69550.0030517578,68010.0021362305,66849.9984741211,66800.0030517578,65019.9966430664,60000,56.13,"Carbon dioxide (CO?) emissions from fossil fuels and industry. Land use change is not included.

","• Protection and promotion of sinks to enhance CO2 removals.
"
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,18.335,25.669,14.668,22.002,22.002,29.336,36.67,40.337,47.671,44.004,47.671,47.671,55.005,36.67,47.671,47.671,47.671,51.338,47.671,47.671,58.672,62.339,62.339,62.339,62.339,66.006,73.34,95.342,102.676,110,120,170,150,160,170,190,200,220,220,210,230,239.999994635582,250,230.000004172325,250,259.999990463257,280.000001192093,289.99999165535,810.000002384186,289.99999165535,310.000002384186,409.999996423721,319.999992847443,250,270.000010728836,280.000001192093,289.99999165535,319.999992847443,330.000013113022,0.18,CO2 emissions from liquid fuel consumption,"a diversified supply of energy services, with
lower energy intensity and carbon emissions"
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,223.687,293.36,264.024,330.03,315.362,344.698,388.702,418.038,542.716,407.037,381.368,469.376,553.717,557.384,557.384,506.046,220.02,722.399,392.369,572.052,564.718,528.048,517.047,363.033,568.385,509.713,326.363,234.688,546.383,473.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,"heating, transportation and supplies.",carbon capture and e-fuel production
